"transaction_counts_id","book_id","times_out","is_indeterminate"
"598","11149","86","0"
"599","6233","86","0"
"600","11358","86","0"
"601","5402","86","0"
"602","5707","86","0"
"603","7830","86","0"
"604","4030","86","0"
"605","8153","86","0"
"606","2847","86","0"
"607","8155","86","0"
"608","5824","86","0"
"609","8575","86","0"
"610","9186","86","0"
"611","2025","86","0"
"612","10405","86","0"
"613","9589","86","0"
"614","3080","86","0"
"615","531","86","0"
"616","1804","86","0"
"617","5911","86","0"
"618","11052","86","0"
"619","5319","86","0"
"620","5656","86","0"
"621","6734","85","0"
"622","6639","85","0"
"623","8444","85","0"
"624","8703","85","0"
"625","2932","85","0"
"626","1121","85","0"
"627","7303","85","0"
"628","3078","85","0"
"629","6805","85","0"
"630","3942","85","0"
"631","2515","85","0"
"632","583","85","0"
"633","11117","84","0"
"634","10157","84","0"
"635","266","84","0"
"636","11137","84","0"
"637","7301","84","0"
"638","9842","84","0"
"639","11061","84","0"
"640","561","84","0"
"641","497","84","0"
"642","2657","84","0"
"643","5363","84","0"
"644","599","84","0"
"645","6699","84","0"
"646","3513","84","0"
"647","298","83","0"
"648","3373","83","0"
"649","507","83","0"
"650","10544","83","0"
"651","11570","83","0"
"652","1137","83","0"
"653","10643","83","0"
"654","2040","83","0"
"655","3204","83","0"
"656","5829","83","0"
"657","4917","83","0"
"658","469","83","0"
"659","918","83","0"
"660","1726","83","0"
"661","5353","82","0"
"662","2712","82","0"
"663","166","82","0"
"664","2665","82","0"
"665","3293","82","0"
"666","11041","82","0"
"667","5661","82","0"
"668","8285","82","0"
"669","5392","82","0"
"670","594","82","0"
"671","4707","82","0"
"672","612","82","0"
"673","6584","82","0"
"674","5864","82","0"
"675","11085","81","0"
"676","3126","81","0"
"677","5160","81","0"
"678","2828","81","0"
"679","1310","81","0"
"680","5389","81","0"
"681","5666","81","0"
"682","9269","81","0"
"683","1527","81","0"
"684","10535","81","0"
"685","8112","81","0"
"686","5813","81","0"
"687","9000","81","0"
"688","5976","81","0"
"689","601","80","0"
"690","11072","80","0"
"691","9712","80","0"
"692","1298","80","0"
"693","4560","80","0"
"694","689","80","0"
"695","2028","80","0"
"696","6631","80","0"
"697","4454","80","0"
"698","3945","80","0"
"699","5832","80","0"
"700","6861","79","0"
"701","6686","79","0"
"702","8891","79","0"
"703","879","79","0"
"704","8641","79","0"
"705","480","79","0"
"706","7353","79","0"
"707","9812","79","0"
"708","1770","79","0"
"709","4642","79","0"
"710","3943","79","0"
"711","886","79","0"
"712","3156","79","0"
"713","3848","79","0"
"714","5350","79","0"
